"temp","species","parameter","percent_change_R0"
31.9,"Ae. aegypti","a",10
32,"Ae. aegypti","a",10
32.1,"Ae. aegypti","a",10
32.2,"Ae. aegypti","a",10
32.3,"Ae. aegypti","a",10
32.4,"Ae. aegypti","a",10
32.5,"Ae. aegypti","a",10
32.6,"Ae. aegypti","a",10
32.7,"Ae. aegypti","a",10
32.8,"Ae. aegypti","a",10
32.9,"Ae. aegypti","a",10
33,"Ae. aegypti","a",10
33.1,"Ae. aegypti","a",10
33.2,"Ae. aegypti","a",10
33.3,"Ae. aegypti","a",10
33.4,"Ae. aegypti","a",10
33.5,"Ae. aegypti","a",10
33.6,"Ae. aegypti","a",10
33.7,"Ae. aegypti","a",10
33.8,"Ae. aegypti","a",9.99999999999999
33.9,"Ae. aegypti","a",10
34,"Ae. aegypti","a",10
34.1,"Ae. aegypti","a",10
34.2,"Ae. aegypti","a",10
34.3,"Ae. aegypti","a",10
34.4,"Ae. aegypti","a",10
34.5,"Ae. aegypti","a",9.99999999999998
34.6,"Ae. aegypti","a",10
17.1,"Ae. aegypti","b",4.88088481701517
17.2,"Ae. aegypti","b",4.88088481701516
17.3,"Ae. aegypti","b",4.88088481701516
17.4,"Ae. aegypti","b",4.88088481701516
17.5,"Ae. aegypti","b",4.88088481701516
17.6,"Ae. aegypti","b",4.88088481701517
17.7,"Ae. aegypti","b",4.88088481701515
17.8,"Ae. aegypti","b",4.88088481701514
17.9,"Ae. aegypti","b",4.88088481701516
18,"Ae. aegypti","b",4.88088481701516
18.1,"Ae. aegypti","b",4.88088481701515
18.2,"Ae. aegypti","b",4.88088481701515
18.3,"Ae. aegypti","b",4.88088481701513
18.4,"Ae. aegypti","b",4.88088481701514
18.5,"Ae. aegypti","b",4.88088481701516
18.6,"Ae. aegypti","b",4.88088481701514
18.7,"Ae. aegypti","b",4.88088481701516
18.8,"Ae. aegypti","b",4.88088481701517
18.9,"Ae. aegypti","b",4.88088481701515
19,"Ae. aegypti","b",4.88088481701515
19.1,"Ae. aegypti","b",4.88088481701515
19.2,"Ae. aegypti","b",4.88088481701515
19.3,"Ae. aegypti","b",4.88088481701517
19.4,"Ae. aegypti","b",4.88088481701517
19.5,"Ae. aegypti","b",4.88088481701517
19.6,"Ae. aegypti","b",4.88088481701515
19.7,"Ae. aegypti","b",4.88088481701517
